rmse: [3.71962832], MAPE: [1.87858037] - optimizer: SGD, batch_size: 1, learning_rate: 0.1
rmse: [3.70443533], MAPE: [1.8773372] - optimizer: SGD, batch_size: 1, learning_rate: 0.1
rmse: [5.08940865], MAPE: [2.61240852] - optimizer: Adam, batch_size: 4, learning_rate: 0.001
rmse: [3.62056897], MAPE: [1.83067557] - optimizer: SGD, batch_size: 8, learning_rate: 0.1
rmse: [4.76541107], MAPE: [2.43652015] - optimizer: Adam, batch_size: 4, learning_rate: 0.001
rmse: [3.6082389], MAPE: [1.82555124] - optimizer: SGD, batch_size: 8, learning_rate: 0.1
rmse: [3.63899606], MAPE: [1.8374148] - optimizer: SGD, batch_size: 1, learning_rate: 0.1
rmse: [3.63334897], MAPE: [1.83322799] - optimizer: SGD, batch_size: 1, learning_rate: 0.1
rmse: [5.5424354], MAPE: [2.84891811] - optimizer: Adam, batch_size: 4, learning_rate: 0.001
rmse: [3.58518203], MAPE: [1.81081243] - optimizer: SGD, batch_size: 8, learning_rate: 0.1
rmse: [4.89040312], MAPE: [2.49003785] - optimizer: Adam, batch_size: 4, learning_rate: 0.001
rmse: [3.58569505], MAPE: [1.81264904] - optimizer: SGD, batch_size: 8, learning_rate: 0.1
rmse: [3.64627788], MAPE: [1.839128] - optimizer: SGD, batch_size: 1, learning_rate: 0.1
rmse: [3.6819583], MAPE: [1.86144357] - optimizer: SGD, batch_size: 1, learning_rate: 0.1
rmse: [5.49938562], MAPE: [2.8173143] - optimizer: Adam, batch_size: 4, learning_rate: 0.001
rmse: [5.19759028], MAPE: [2.61078548] - optimizer: Adam, batch_size: 4, learning_rate: 0.001
rmse: [3.58175854], MAPE: [1.81035451] - optimizer: SGD, batch_size: 8, learning_rate: 0.1
rmse: [3.56418057], MAPE: [1.80101102] - optimizer: SGD, batch_size: 8, learning_rate: 0.1
rmse: [3.65780282], MAPE: [1.84660446] - optimizer: SGD, batch_size: 1, learning_rate: 0.1
rmse: [3.58353794], MAPE: [1.80363374] - optimizer: SGD, batch_size: 1, learning_rate: 0.1
rmse: [5.25743302], MAPE: [2.65708865] - optimizer: Adam, batch_size: 4, learning_rate: 0.001
rmse: [5.22592926], MAPE: [2.68043637] - optimizer: Adam, batch_size: 4, learning_rate: 0.001
rmse: [3.60593765], MAPE: [1.82199618] - optimizer: SGD, batch_size: 8, learning_rate: 0.1
rmse: [3.59698143], MAPE: [1.81690475] - optimizer: SGD, batch_size: 8, learning_rate: 0.1
rmse: [3.62186544], MAPE: [1.82715357] - optimizer: SGD, batch_size: 1, learning_rate: 0.1
rmse: [3.61228714], MAPE: [1.81452285] - optimizer: SGD, batch_size: 1, learning_rate: 0.1
rmse: [5.60795817], MAPE: [2.897087] - optimizer: Adam, batch_size: 4, learning_rate: 0.001
rmse: [5.11287398], MAPE: [2.59868285] - optimizer: Adam, batch_size: 4, learning_rate: 0.001
rmse: [3.59254817], MAPE: [1.81464712] - optimizer: SGD, batch_size: 8, learning_rate: 0.1
rmse: [3.58507936], MAPE: [1.81018424] - optimizer: SGD, batch_size: 8, learning_rate: 0.1
