rmse: [5.19407281], MAPE: [2.65472015] - features_lstm: 128, feature_dense: 25, optimizer: Adam, batch_size: 1, learning_rate: 0.1, clipvalue: 1.0
rmse: [3.81171466], MAPE: [1.93822436] - features_lstm: 128, feature_dense: 25, optimizer: Adagrad, batch_size: 1, learning_rate: 0.1, clipvalue: 1.0
rmse: [5.79232709], MAPE: [2.90933822] - features_lstm: 128, feature_dense: 25, optimizer: RMSprop, batch_size: 1, learning_rate: 0.1, clipvalue: 1.0
rmse: [3.6625298], MAPE: [1.8559967] - features_lstm: 128, feature_dense: 25, optimizer: SGD, batch_size: 1, learning_rate: 0.1, clipvalue: 1.0
rmse: [5.39689472], MAPE: [2.7433602] - features_lstm: 128, feature_dense: 25, optimizer: Adam, batch_size: 1, learning_rate: 0.01, clipvalue: 1.0
rmse: [3.84206539], MAPE: [1.95500702] - features_lstm: 128, feature_dense: 25, optimizer: Adagrad, batch_size: 1, learning_rate: 0.01, clipvalue: 1.0
rmse: [6.18984045], MAPE: [3.15195095] - features_lstm: 128, feature_dense: 25, optimizer: RMSprop, batch_size: 1, learning_rate: 0.01, clipvalue: 1.0
rmse: [3.69319606], MAPE: [1.87153302] - features_lstm: 128, feature_dense: 25, optimizer: SGD, batch_size: 1, learning_rate: 0.01, clipvalue: 1.0
rmse: [5.77652064], MAPE: [2.97235722] - features_lstm: 128, feature_dense: 25, optimizer: Adam, batch_size: 1, learning_rate: 0.001, clipvalue: 1.0
rmse: [3.83307026], MAPE: [1.94974409] - features_lstm: 128, feature_dense: 25, optimizer: Adagrad, batch_size: 1, learning_rate: 0.001, clipvalue: 1.0
rmse: [5.94550832], MAPE: [2.99909659] - features_lstm: 128, feature_dense: 25, optimizer: RMSprop, batch_size: 1, learning_rate: 0.001, clipvalue: 1.0
rmse: [3.70623438], MAPE: [1.87833658] - features_lstm: 128, feature_dense: 25, optimizer: SGD, batch_size: 1, learning_rate: 0.001, clipvalue: 1.0
rmse: [5.40376145], MAPE: [2.79845648] - features_lstm: 128, feature_dense: 25, optimizer: Adam, batch_size: 4, learning_rate: 0.1, clipvalue: 1.0
rmse: [3.71372076], MAPE: [1.885272] - features_lstm: 128, feature_dense: 25, optimizer: Adagrad, batch_size: 4, learning_rate: 0.1, clipvalue: 1.0
rmse: [5.19480676], MAPE: [2.61940938] - features_lstm: 128, feature_dense: 25, optimizer: RMSprop, batch_size: 4, learning_rate: 0.1, clipvalue: 1.0
