RMSE_original: 3.8282795971586503
RMSE_delta_1: 3.024342620770543
RMSE_original: 3.8282795971586503
RMSE_delta_1: 3.024342620770543RMSE_original: 161.16621020576594
RMSE_delta_1: 1.1606268901238501RMSE_original: 161.16621020576594
RMSE_delta_1: 1.1606268901238501RMSE_original: 161.16621020576594
RMSE_delta_1: 1.1606268901238501RMSE_original: 0.5885755750868054
RMSE_delta_1: 2.9032311534586945RMSE_original: 0.5885755750868054
RMSE_delta_1: 2.9032311534586945RMSE_original: 0.5885755750868054
RMSE_delta_1: 2.9032311534586945RMSE_original: 0.5885755750868054
RMSE_delta_1: 2.9032311534586945RMSE_original: 0.5885755750868054
RMSE_delta_1: 2.9032311534586945RMSE_original: 0.7197375568239978
RMSE_delta_1: 2.3418811621619664RMSE_original: 1.8343872336841562
RMSE_delta_1: 3.597968700752936RMSE_original: 7.442729088567918
RMSE_delta_1: 2.890612139256815RMSE_original: 0.8985587772929969
RMSE_delta_1: 2.902653418507754RMSE_original: 2.3050455893239667
RMSE_delta_1: 2.9098255361674306RMSE_original: 2.3050455893239667
RMSE_delta_1: 2.9098255361674306RMSE_original: 0.6890416572598148
RMSE_delta_1: 2.9077415940800977RMSE_original: 2.8322794377590164
RMSE_delta_1: 2.895617548643277RMSE_original: 7.936208608757211
RMSE_delta_1: 2.8783436752598592RMSE_original: 1.2105883136066293
RMSE_delta_1: 2.314889864391873RMSE_original: 7.685213506008134
RMSE_delta_1: 2.8640955618035764RMSE_original: 7.685213506008134
RMSE_delta_1: 2.8640955618035764RMSE_original: 7.685213506008134
RMSE_delta_1: 2.8640955618035764RMSE_original: 1.025242713189894
RMSE_delta_1: 2.891944836332035RMSE_original: 1.0281292768362174
RMSE_delta_1: 2.8929960924578655RMSE_original: 0.5885755750868054
RMSE_delta_1: 2.9032311534586945RMSE_original: 1.0296202902298246
RMSE_delta_1: 2.895577132254989RMSE_original: 0.446814752394153
RMSE_delta_1: 2.9036268187523606
